tran,loudest_slot,slot0,slot2,slot4,slot6,slot8,slot10,slot12,slot14,slot16,slot18,slot20,slot22,slot24,slot26,slot28,slot30,slot32
0,0,380.835,7.71126,9.74891,22.1499,13.649,4.38516,2.10501,2.77634,2.15526,1.14518,17.2688,2.69635,7.94425,25.4857,5.60984,3.94478,11.6402
1,0,334.631,18.0147,23.9601,29.8373,4.80088,6.54859,5.78246,5.30724,4.38432,3.9902,5.96761,4.95276,4.94828,3.53587,2.29729,2.65951,3.43287
2,0,391.063,8.72539,10.5784,21.1733,17.2512,6.03317,3.07117,1.85395,2.10129,1.66462,11.5603,3.3795,7.90284,11.6324,2.18341,1.75582,4.45427
3,0,380.338,5.53339,7.13126,17.4027,6.375,2.74645,2.20649,2.08386,2.01481,2.11749,14.6584,2.63867,7.6704,30.6718,6.1737,3.32776,9.18759
4,0,373.115,3.79964,4.31373,11.5108,7.5735,2.62283,1.23871,1.17492,2.56718,1.36363,11.0049,0.904849,3.53247,38.4921,2.26664,0.977042,8.81771
5,0,380.052,3.34617,1.51501,18.364,2.3438,7.0973,0.867872,0.745669,5.15026,1.35488,13.9445,1.01234,3.05139,32.7607,2.00455,0.916153,10.5013
6,0,384.219,5.44766,1.9682,30.8206,2.74462,7.2725,2.45786,3.5727,3.93312,0.974014,15.5695,2.46287,3.12508,13.8347,1.32798,2.13797,7.11706
7,0,361.898,5.49999,4.40251,32.0069,1.73484,1.64197,1.72368,0.497462,1.03535,0.39671,4.44332,3.12803,0.934138,0.594113,0.386667,2.97856,1.87512
8,0,29.1038,0.905793,0.658272,0.96084,0.180043,0.166986,0.160483,0.139041,0.146641,0.207462,6.18578,0.122135,0.24339,2.30217,0.122515,0.270815,0.106782
9,2,5.52719,309.184,4.65339,13.6603,1.93207,35.2176,1.04161,2.91497,1.78983,1.66231,1.32131,0.9938,1.27549,1.28589,1.97111,1.00729,3.66697
10,2,6.37139,334.7,4.97579,7.57876,0.742061,17.9923,0.662567,7.62711,2.86944,1.252,0.565712,0.364188,1.39302,0.723023,3.77457,0.849749,8.37937
11,2,8.30345,283.059,6.12253,4.75892,2.44435,10.8429,2.51087,10.4092,3.31477,2.29778,1.847,1.22287,1.7541,2.07451,7.23807,0.706889,7.35379
12,2,8.42258,304.41,6.92407,4.78845,2.49432,9.87395,1.27394,8.37942,4.42544,1.9293,1.85014,1.43031,1.95348,1.53993,5.82325,1.38508,9.57216
13,2,13.5379,224.409,18.3754,16.741,9.49021,17.9327,6.90932,13.7449,3.8087,5.10099,3.03972,1.60191,4.75615,3.30602,4.94447,3.77053,12.0686
14,2,19.198,27.1958,8.96027,6.91543,4.24331,3.44282,3.8989,4.66367,3.24349,4.31711,5.60788,1.86327,3.41106,3.07326,3.69863,2.05763,1.81329
15,2,9.77316,265.47,6.18099,9.98741,2.42659,14.8402,3.99778,6.85051,4.11412,2.22848,1.33047,1.56381,1.4205,1.70764,2.97951,0.66748,5.5754
16,2,5.23696,353.779,7.49952,4.86293,2.21252,12.8973,1.85908,10.9115,3.72528,2.04407,2.83742,1.34663,2.76354,1.62078,6.40485,0.753003,10.6439
17,2,40.0555,231.031,122.215,13.7963,10.7096,9.59197,8.35132,11.8894,8.89043,4.21369,2.24625,3.26134,5.34287,6.60132,6.85046,6.38903,3.18714
18,4,52.6247,126.614,129.253,39.7575,33.7099,16.9506,14.6133,11.1019,10.1427,17.227,27.4785,12.7463,7.14744,5.57051,5.26095,2.78479,7.98998
19,4,8.05192,48.2743,339.031,37.5914,13.2055,4.84975,2.72609,5.66162,2.51173,9.50158,8.58489,8.55488,3.08402,1.86068,2.27582,1.20245,0.955312
20,4,2.29244,4.08206,393.861,3.46167,1.27877,6.11763,1.30085,16.574,1.50386,2.57502,3.3319,1.57546,1.89627,0.864636,1.09248,1.01675,1.01405
21,4,10.927,19.7683,220.552,16.297,9.59088,11.9157,4.99349,21.0102,4.2444,6.33564,27.2623,7.25342,5.8733,3.05997,3.87411,3.744,3.01571
22,4,5.88359,8.20469,302.398,17.155,7.38479,18.1852,5.28513,27.6291,4.22275,6.88156,19.4391,3.93855,1.82306,4.41322,3.1156,3.01691,2.30641
23,4,3.83214,3.3773,352.979,2.96678,3.74287,17.9834,0.609479,43.6066,2.77048,2.8731,7.23624,1.64989,3.03088,1.20381,0.710724,1.4702,0.696531
24,4,3.67701,2.70648,16.6262,2.69357,1.77421,0.907559,1.45438,0.944236,2.12555,3.92009,4.2633,1.57688,3.01205,4.06068,1.3361,2.31656,0.31488
25,6,1.52195,6.57765,5.45565,281.463,4.66648,6.76979,0.849709,9.64271,0.859825,21.0305,0.946295,0.581513,1.79473,4.10343,1.45304,1.11158,0.426433
26,6,12.3492,11.5202,14.1424,215.946,16.8588,8.16005,5.04394,8.42455,3.42913,11.6306,6.94749,3.89724,2.52197,19.1782,5.36298,2.79997,1.84602
