tran,loudest_slot,slot0,slot2,slot4,slot6,slot8,slot10,slot12,slot14,slot16,slot18,slot20,slot22,slot24,slot26,slot28,slot30,slot32
0,0,382.897,17.911,10.2825,17.1955,118.492,1.4569,16.0452,15.2438,0.87694,61.0662,13.6177,2.85059,12.8119,34.3875,10.7374,2.76432,9.96813
1,0,335.204,36.1919,19.3665,30.8745,42.2524,13.2529,7.77184,8.85727,4.53932,8.27836,3.72221,6.19333,4.43946,3.42448,2.20261,2.09612,2.72163
2,0,381.72,29.7576,13.4169,25.8255,102.913,15.8724,22.978,19.4414,4.06142,39.7577,15.1999,5.11427,11.2291,12.9092,6.81616,2.93945,5.18187
3,0,373.21,18.6751,22.508,16.9826,114.636,6.16281,15.7939,14.856,1.0682,58.2146,13.1642,3.45112,12.2433,32.034,9.98823,2.79145,9.21196
4,0,368.838,29.1375,3.48015,13.1232,117.685,4.28804,12.5237,12.036,1.69345,64.3624,10.9847,1.31354,10.8495,40.2648,9.46316,1.42895,9.46293
5,0,370.836,16.5159,2.2714,15.4098,114.566,2.54252,14.627,14.1703,2.02756,58.931,12.2068,1.90963,12.0475,32.9342,9.44583,1.88267,9.37113
6,0,362.638,31.4809,13.7732,31.255,98.1671,7.82668,24.4555,24.4246,4.04243,37.1482,15.4337,3.45108,15.412,11.4301,6.83013,2.8589,6.82211
7,0,332.299,32.8686,7.56892,26.8737,50.7521,19.6734,5.9801,5.58428,3.81102,5.21375,5.11743,2.02103,5.26862,0.705703,2.46606,0.669434,2.47829
8,6,27.462,33.2492,5.60883,36.8943,1.6825,0.472572,20.5405,0.328589,4.91053,0.624276,0.301438,0.153668,0.876585,0.113298,0.152367,0.125471,0.159687
9,2,13.0135,292.747,20.7501,30.8018,20.4488,30.3252,13.7847,39.4945,8.43702,7.14213,5.98103,5.05149,1.47191,4.03395,5.78333,3.49692,3.90789
10,2,8.38595,329.599,8.59645,24.3735,5.43183,24.4882,6.01519,90.6802,9.37235,4.50021,19.6347,18.8069,3.76266,8.1389,35.4695,1.96257,12.4217
11,2,8.2013,322.998,12.9785,15.2359,5.47601,15.1306,2.47308,99.9448,6.86994,1.89755,14.4224,13.556,2.2821,3.0305,51.0026,1.07942,12.1866
